date,D,Oth,R,total,D_cum,R_cum,Oth_cum,total_cum
1800-05-18,0,0,0,0,6,3,3,12
1800-05-19,0,0,0,0,6,3,3,12
1800-05-20,0,0,0,0,6,3,3,12
1800-05-21,0,0,0,0,6,3,3,12
1800-05-22,0,0,0,0,6,3,3,12
1800-05-23,0,0,0,0,6,3,3,12
1800-05-24,0,0,0,0,6,3,3,12
1800-05-25,0,0,0,0,6,3,3,12
1800-05-26,0,0,0,0,6,3,3,12
1800-05-27,0,0,0,0,6,3,3,12
1800-05-28,0,0,0,0,6,3,3,12
1800-05-29,0,0,0,0,6,3,3,12
1800-05-30,0,0,0,0,6,3,3,12
1800-05-31,0,0,0,0,6,3,3,12
1800-06-01,0,0,0,0,6,3,3,12
1800-06-02,0,0,0,0,6,3,3,12
1800-06-03,0,0,0,0,6,3,3,12
1800-06-04,0,0,0,0,6,3,3,12
1800-06-05,0,0,0,0,6,3,3,12
1800-06-06,0,0,0,0,6,3,3,12
1800-06-07,0,0,0,0,6,3,3,12
1800-06-08,0,0,0,0,6,3,3,12
1800-06-09,0,0,0,0,6,3,3,12
1800-06-10,0,0,0,0,6,3,3,12
1800-06-11,0,0,0,0,6,3,3,12
1800-06-12,0,0,0,0,6,3,3,12
1800-06-13,0,0,0,0,6,3,3,12
1800-06-14,0,0,0,0,6,3,3,12
1800-06-15,0,0,0,0,6,3,3,12
1800-06-16,0,0,0,0,6,3,3,12
1800-06-17,0,0,0,0,6,3,3,12
1800-06-18,0,0,0,0,6,3,3,12
1800-06-19,0,0,0,0,6,3,3,12
1800-06-20,0,0,0,0,6,3,3,12
1800-06-21,0,0,0,0,6,3,3,12
1800-06-22,0,0,0,0,6,3,3,12
1800-06-23,0,0,0,0,6,3,3,12
1800-06-24,0,0,0,0,6,3,3,12
1800-06-25,0,0,0,0,6,3,3,12
1800-06-26,0,0,0,0,6,3,3,12
1800-06-27,0,0,0,0,6,3,3,12
1800-06-28,0,0,0,0,6,3,3,12
1800-06-29,0,0,0,0,6,3,3,12
1800-06-30,0,0,0,0,6,3,3,12
1800-07-01,0,0,0,0,6,3,3,12
1800-07-02,0,0,0,0,6,3,3,12
1800-07-03,0,0,0,0,6,3,3,12
1800-07-04,0,0,0,0,6,3,3,12
1800-07-05,0,0,0,0,6,3,3,12
1800-07-06,0,0,0,0,6,3,3,12
1800-07-07,0,0,0,0,6,3,3,12
1800-07-08,0,0,0,0,6,3,3,12
1800-07-09,0,0,0,0,6,3,3,12
1800-07-10,0,0,0,0,6,3,3,12
1800-07-11,0,0,0,0,6,3,3,12
1800-07-12,0,0,0,0,6,3,3,12
1800-07-13,0,0,0,0,6,3,3,12
1800-07-14,0,0,0,0,6,3,3,12
1800-07-15,0,0,0,0,6,3,3,12
1800-07-16,0,0,0,0,6,3,3,12
1800-07-17,0,0,0,0,6,3,3,12
1800-07-18,0,0,0,0,6,3,3,12
1800-07-19,0,0,0,0,6,3,3,12
1800-07-20,0,0,0,0,6,3,3,12
1800-07-21,0,0,0,0,6,3,3,12
1800-07-22,0,0,0,0,6,3,3,12
1800-07-23,0,0,0,0,6,3,3,12
1800-07-24,0,0,0,0,6,3,3,12
1800-07-25,0,0,0,0,6,3,3,12
1800-07-26,0,0,0,0,6,3,3,12
1800-07-27,0,0,0,0,6,3,3,12
1800-07-28,0,0,0,0,6,3,3,12
1800-07-29,0,0,0,0,6,3,3,12
1800-07-30,0,0,0,0,6,3,3,12
