precinct_split_id,D_registered,Oth_registered,R_registered,D_voted,Oth_voted,R_voted,D_turnout_pct,R_turnout_pct,Oth_turnout_pct,registered_total,voted_total,turnout_pct
35011-1,555,292,598,267,62,246,48.11,41.14,21.23,1445,575,39.79
35012-1,521,249,515,264,54,246,50.67,47.77,21.69,1285,564,43.89
35020-1,303,187,344,140,32,122,46.2,35.47,17.11,834,294,35.25
35030-1,537,324,712,278,76,303,51.77,42.56,23.46,1573,657,41.77
35040-1,377,219,461,181,41,196,48.01,42.52,18.72,1057,418,39.55
36010-1,1267,692,1842,679,171,780,53.59,42.35,24.71,3801,1630,42.88
36020-1,641,364,1097,341,93,494,53.2,45.03,25.55,2102,928,44.15
36030-1,607,319,766,287,71,339,47.28,44.26,22.26,1692,697,41.19
36040-1,757,488,1211,403,131,476,53.24,39.31,26.84,2456,1010,41.12
37000-1,269,169,404,152,56,216,56.51,53.47,33.14,842,424,50.36
38000-1,294,133,277,196,50,146,66.67,52.71,37.59,704,392,55.68
39010-1,441,223,496,273,63,227,61.9,45.77,28.25,1160,563,48.53
39020-1,196,100,197,133,28,101,67.86,51.27,28.0,493,262,53.14
39030-1,611,311,667,322,78,306,52.7,45.88,25.08,1589,706,44.43
40000-1,195,100,329,121,40,190,62.05,57.75,40.0,624,351,56.25
41011-1,761,379,532,500,163,312,65.7,58.65,43.01,1672,975,58.31
41012-1,634,382,655,406,157,356,64.04,54.35,41.1,1671,919,55.0
41020-1,1241,507,761,831,218,409,66.96,53.75,43.0,2509,1458,58.11
41030-1,945,384,731,646,171,368,68.36,50.34,44.53,2060,1185,57.52
42010-1,441,267,713,265,95,369,60.09,51.75,35.58,1421,729,51.3
42020-1,463,248,699,310,96,342,66.95,48.93,38.71,1410,748,53.05
42030-1,390,248,694,217,55,347,55.64,50.0,22.18,1332,619,46.47
43000-1,566,287,806,329,99,421,58.13,52.23,34.49,1659,849,51.18
44010-1,430,225,469,293,107,267,68.14,56.93,47.56,1124,667,59.34
44020-1,362,186,560,230,72,285,63.54,50.89,38.71,1108,587,52.98
44030-1,436,224,500,322,90,265,73.85,53.0,40.18,1160,677,58.36
45000-1,199,121,323,131,43,187,65.83,57.89,35.54,643,361,56.14
46000-1,839,264,510,420,57,193,50.06,37.84,21.59,1613,670,41.54
47010-1,504,284,605,346,128,388,68.65,64.13,45.07,1393,862,61.88
47020-1,686,332,927,456,142,536,66.47,57.82,42.77,1945,1134,58.3
47030-1,767,420,994,467,165,555,60.89,55.84,39.29,2181,1187,54.42
47040-1,811,469,925,583,221,542,71.89,58.59,47.12,2205,1346,61.04
48011-1,362,172,688,203,46,340,56.08,49.42,26.74,1222,589,48.2
48012-1,611,277,927,368,75,468,60.23,50.49,27.08,1815,911,50.19
48021-1,244,126,305,132,25,135,54.1,44.26,19.84,675,292,43.26
48022-1,310,175,546,181,52,306,58.39,56.04,29.71,1031,539,52.28
48023-1,331,119,398,208,33,200,62.84,50.25,27.73,848,441,52.0
48024-1,338,126,464,177,35,229,52.37,49.35,27.78,928,441,47.52
48031-1,688,276,929,403,79,410,58.58,44.13,28.62,1893,892,47.12
48032-1,414,186,629,230,44,268,55.56,42.61,23.66,1229,542,44.1
48041-1,376,135,480,247,45,260,65.69,54.17,33.33,991,552,55.7
48042-1,389,169,591,226,48,301,58.1,50.93,28.4,1149,575,50.04
49010-1,379,154,477,216,43,213,56.99,44.65,27.92,1010,472,46.73
49020-1,550,226,294,242,32,88,44.0,29.93,14.16,1070,362,33.83
49030-1,900,457,905,415,107,370,46.11,40.88,23.41,2262,892,39.43
49040-1,396,159,588,227,55,269,57.32,45.75,34.59,1143,551,48.21
49050-1,437,195,599,240,52,282,54.92,47.08,26.67,1231,574,46.63
49060-1,438,188,555,223,56,271,50.91,48.83,29.79,1181,550,46.57
49070-1,594,251,745,329,73,365,55.39,48.99,29.08,1590,767,48.24
49080-1,511,203,733,332,69,391,64.97,53.34,33.99,1447,792,54.73
49090-1,568,211,705,339,56,364,59.68,51.63,26.54,1484,759,51.15
49100-1,724,211,659,431,62,290,59.53,44.01,29.38,1594,783,49.12
49110-1,788,307,908,429,87,393,54.44,43.28,28.34,2003,909,45.38
49120-1,611,186,736,444,84,466,72.67,63.32,45.16,1533,994,64.84
49130-1,556,236,723,316,61,332,56.83,45.92,25.85,1515,709,46.8
49140-1,1204,273,1171,884,120,676,73.42,57.73,43.96,2648,1680,63.44
49150-1,382,126,407,245,32,205,64.14,50.37,25.4,915,482,52.68
49160-1,463,232,321,185,45,116,39.96,36.14,19.4,1016,346,34.06
49170-1,363,145,488,220,43,242,60.61,49.59,29.66,996,505,50.7
50010-1,767,360,936,472,147,515,61.54,55.02,40.83,2063,1134,54.97
50020-1,1021,523,1346,609,189,717,59.65,53.27,36.14,2890,1515,52.42
50030-1,513,222,643,348,88,376,67.84,58.48,39.64,1378,812,58.93
50040-1,984,339,861,562,98,424,57.11,49.25,28.91,2184,1084,49.63
50050-1,995,500,1166,569,156,616,57.19,52.83,31.2,2661,1341,50.39
50060-1,946,490,1193,530,152,541,56.03,45.35,31.02,2629,1223,46.52
50070-1,1111,607,1202,659,228,624,59.32,51.91,37.56,2920,1511,51.75
50080-1,807,365,967,471,118,513,58.36,53.05,32.33,2139,1102,51.52
51010-1,676,315,903,430,124,502,63.61,55.59,39.37,1894,1056,55.76
51020-1,1209,542,1543,735,181,806,60.79,52.24,33.39,3294,1722,52.28
51030-1,833,437,932,479,150,500,57.5,53.65,34.32,2202,1129,51.27
51040-1,924,408,1208,580,128,657,62.77,54.39,31.37,2540,1365,53.74
51050-1,487,278,746,294,118,419,60.37,56.17,42.45,1511,831,55.0
52010-1,357,237,717,252,75,377,70.59,52.58,31.65,1311,704,53.7
52020-1,811,395,1483,535,119,814,65.97,54.89,30.13,2689,1468,54.59
53000-1,874,533,1332,551,183,768,63.04,57.66,34.33,2739,1502,54.84
54000-1,1075,498,714,743,220,440,69.12,61.62,44.18,2287,1403,61.35
