polling_place_key,D_to_Oth,D_to_R,Oth_to_D,Oth_to_R,R_to_D,R_to_Oth,total_switch,D_gain,D_loss,R_gain,R_loss,Oth_gain,Oth_loss,D,R,Oth,D_net,R_net,Oth_net,D_flip_pct,R_flip_pct,Oth_flip_pct,polling_place,full_address,post_office,precinct_codes,precinct_split_ids,municipality_districts
Tawanka Learning Center | 2055 Brownsville Rd Langhorne PA 19053 | Langhorne,3,11,2,3,2,11,32,4,14,14,13,14,5,534,693,230,-10,1,9,2.62,1.88,2.17,Tawanka Learning Center,2055 Brownsville Rd Langhorne PA 19053,Langhorne,21013,21013-1,Lower Southampton Twp. East 3
Telford Borough Community Center | 125 S Hamilton St Telford PA 18969 | Telford,3,8,1,6,6,3,27,7,11,14,9,6,7,566,806,287,-4,5,-1,1.94,1.12,2.44,Telford Borough Community Center,125 S Hamilton St Telford PA 18969,Telford,43000,43000-1,Telford Borough
"Thompson Memorial Presbyterian Church | 1680 Aquetong Road, New Hope, PA 18938 | New Hope",25,14,22,14,13,27,115,35,39,28,40,52,36,1395,1187,761,-4,-12,16,2.8,3.37,4.73,Thompson Memorial Presbyterian Church,"1680 Aquetong Road, New Hope, PA 18938",New Hope,41011; 41012,41011-1; 41012-1,Solebury Twp. Lower 1; Solebury Twp. Lower 2
Tinicum Township Building | 163 Municipal Rd Pipersville PA 18947 | Pipersville,11,6,5,5,2,6,35,7,17,11,8,17,10,436,500,224,-10,3,7,3.9,1.6,4.46,Tinicum Township Building,163 Municipal Rd Pipersville PA 18947,Pipersville,44030,44030-1,Tinicum Twp. Tohickon
Titus Elementary School | 2333 Lower Barness Rd Warrington PA 18976 | Warrington,9,15,9,8,10,7,58,19,24,23,17,16,17,984,861,339,-5,6,-1,2.44,1.97,5.01,Titus Elementary School,2333 Lower Barness Rd Warrington PA 18976,Warrington,50040,50040-1,Warrington Twp. District 4
Tohickon Middle School | 5051 Old Easton Rd Doylestown PA 18902 | Doylestown,33,15,24,24,16,28,140,40,48,39,44,61,48,1412,1929,872,-8,-5,13,3.4,2.28,5.5,Tohickon Middle School,5051 Old Easton Rd Doylestown PA 18902,Doylestown,34030; 34050,34030-1; 34050-1,Plumstead Twp. District 3; Plumstead Twp. District 5
Trevose Fire Company | 4900 E Street Rd Trevose PA 19053 | Trevose,13,15,10,7,6,4,55,16,28,22,10,17,17,1620,1493,636,-12,12,0,1.73,0.67,2.67,Trevose Fire Company,4900 E Street Rd Trevose PA 19053,Trevose,02051; 02053,02051-1; 02053-1,Bensalem Twp. Upper 1; Bensalem Twp. Upper 3
Trinity Episcopal Church Solebury | 6587 Upper York Rd Solebury PA 18963 | Solebury,8,7,22,5,7,11,60,29,15,12,18,19,27,945,731,384,14,-6,-8,1.59,2.46,7.03,Trinity Episcopal Church Solebury,6587 Upper York Rd Solebury PA 18963,Solebury,41030,41030-1,Solebury Twp. Upper
Trinity Evangelical Lutheran Church | 2170 Route 212 Coopersburg PA 18036 | Coopersburg,6,6,6,8,9,12,47,15,12,14,21,18,14,463,699,248,3,-7,4,2.59,3.0,5.65,Trinity Evangelical Lutheran Church,2170 Route 212 Coopersburg PA 18036,Coopersburg,42020,42020-1,Springfield Twp. Middle
Trumbauersville Borough Building | 1 Evergreen Dr Trumbauersville PA 18970 | Trumbauersville,2,4,3,8,2,3,22,5,6,12,5,5,11,199,323,121,-1,7,-6,3.02,1.55,9.09,Trumbauersville Borough Building,1 Evergreen Dr Trumbauersville PA 18970,Trumbauersville,45000,45000-1,Trumbauersville Boro
Tullytown Borough Hall | 500 Main St Tullytown PA 19007 | Tullytown,8,8,5,9,2,0,32,7,16,17,2,8,14,839,510,264,-9,15,-6,1.91,0.39,5.3,Tullytown Borough Hall,500 Main St Tullytown PA 19007,Tullytown,46000,46000-1,Tullytown Borough
Union Fire Company | 2067 State Rd Bensalem PA 19020 | Bensalem,12,5,6,6,3,4,36,9,17,11,7,16,12,681,759,303,-8,4,4,2.5,0.92,3.96,Union Fire Company,2067 State Rd Bensalem PA 19020,Bensalem,02021,02021-1,Bensalem Twp. Lower Middle 1
Upper Southampton Township Parks & Recreation | 913 Willow St Southampton PA 18966 | Southampton,10,14,8,14,12,16,74,20,24,28,28,26,22,1009,1376,430,-4,0,4,2.38,2.03,5.12,Upper Southampton Township Parks & Recreation,913 Willow St Southampton PA 18966,Southampton,48021; 48041; 48042,48021-1; 48041-1; 48042-1,Upper Southampton Twp. North 1; Upper Southampton Twp. West 1; Upper Southampton Twp. West 2
VFW Post 1597 | 901 Bellevue Ave Croydon PA 19021 | Croydon,9,13,5,10,3,2,42,8,22,23,5,11,15,584,703,299,-14,18,-4,3.77,0.71,5.02,VFW Post 1597,901 Bellevue Ave Croydon PA 19021,Croydon,05011,05011-1,Bristol Twp. 1 - 1
Valley Elementary School | 3100 Donallen Dr Bensalem PA 19020 | Bensalem,22,22,11,4,18,9,86,29,44,26,27,31,15,1766,1745,618,-15,-1,16,2.49,1.55,2.43,Valley Elementary School,3100 Donallen Dr Bensalem PA 19020,Bensalem,02056; 02059; 02060,02056-1; 02059-1; 02060-1,Bensalem Twp. Upper 10; Bensalem Twp. Upper 6; Bensalem Twp. Upper 9
Village Park Elementary School | 75 Unity Dr Fairless Hills PA 19030 | Fairless Hills,2,7,7,1,6,3,26,13,9,8,9,5,8,606,458,211,4,-1,-3,1.49,1.97,3.79,Village Park Elementary School,75 Unity Dr Fairless Hills PA 19030,Fairless Hills,13014,13014-1,Falls Twp. 1 - 4
Village Shires Community Center #1 | 3001 E Village Rd Holland PA 18966 | Holland,22,22,13,6,15,14,92,28,44,28,29,36,19,1513,1704,738,-16,-1,17,2.91,1.7,2.57,Village Shires Community Center #1,3001 E Village Rd Holland PA 18966,Holland,31140; 31160,31140-1; 31160-1,Northampton Twp. District 14; Northampton Twp. District 16
Walter S. Miller Elementary School | 10 Cobalt Ridge Dr S Levittown PA 19057 | Levittown,14,12,3,3,6,9,47,9,26,15,15,23,6,817,784,309,-17,0,17,3.18,1.91,1.94,Walter S. Miller Elementary School,10 Cobalt Ridge Dr S Levittown PA 19057,Levittown,22030; 22040,22030-1; 22040-1,Middletown Twp. Lower 3; Middletown Twp. Lower 4
Warminster Community Center | 75 Downey Dr Warminster PA 18974 | Warminster,11,13,5,3,5,7,44,10,24,16,12,18,8,550,294,226,-14,4,10,4.36,4.08,3.54,Warminster Community Center,75 Downey Dr Warminster PA 18974,Warminster,49020,49020-1,Warminster Twp. District 2
