polling_place_key,voters,voters_with_any_eligible_election,eligible_elections,voted_elections,eligible_primaries,voted_primaries,eligible_generals,voted_generals,eligible_midterm_primaries,voted_midterm_primaries,avg_eligible_elections_per_voter,avg_voted_elections_per_voter,avg_participation_pct_per_voter,participation_pct,primary_participation_pct,general_participation_pct,midterm_primary_participation_pct,registered_current_year_D,registered_current_year_Oth,registered_current_year_R,registered_current_year_total,registration_year,polling_place,full_address,post_office,precinct_codes,precinct_split_ids,municipality_districts
Manor Elementary School | 401 Penn Valley Rd Levittown PA 19054 | Levittown,2594,2572,28210,11867,13954,3554,14256,8313,2285,699,10.88,4.57,40.93,42.07,25.47,58.31,30.59,8,4,4,16,2026,Manor Elementary School,401 Penn Valley Rd Levittown PA 19054,Levittown,13043; 13046; 13047,13043-1; 13046-1; 13047-1,Falls Twp. 4 - 3; Falls Twp. 4 - 6; Falls Twp. 4 - 7
Maple Point Middle School | 2250 Langhorne Yardley Rd Langhorne PA 19047 | Langhorne,4653,4602,51035,24630,25259,7599,25776,17031,4150,1614,10.97,5.29,46.93,48.26,30.08,66.07,38.89,9,15,7,31,2026,Maple Point Middle School,2250 Langhorne Yardley Rd Langhorne PA 19047,Langhorne,22260; 22270; 22280,22260-1; 22270-1; 22280-1,Middletown Twp. Upper 6; Middletown Twp. Upper 7; Middletown Twp. Upper 8
"Maple Point Middle School | 2250 Langhorne Yardley Road, Langhorne, PA 19047 | Langhorne",2617,2584,28800,13336,14262,4163,14538,9173,2344,887,11.0,5.1,45.42,46.31,29.19,63.1,37.84,5,6,11,22,2026,Maple Point Middle School,"2250 Langhorne Yardley Road, Langhorne, PA 19047",Langhorne,22230,22230-1,Middletown Twp. Upper 3
Maureen W. Welch Elementary School | 750 New Rd Churchville PA 18966 | Churchville,3935,3903,42971,19580,21237,5916,21734,13664,3483,1215,10.92,4.98,44.25,45.57,27.86,62.87,34.88,5,9,6,20,2026,Maureen W. Welch Elementary School,750 New Rd Churchville PA 18966,Churchville,31040; 31080,31040-1; 31080-1,Northampton Twp. District 4; Northampton Twp. District 8
"Merck, Sharpe & Dohme Federal Credit Union | 335 West Butler Avenue, Chalfont, PA 18914 | Chalfont",1752,1744,19153,8841,9466,2572,9687,6269,1545,496,10.93,5.05,44.86,46.16,27.17,64.72,32.1,2,1,2,5,2026,"Merck, Sharpe & Dohme Federal Credit Union","335 West Butler Avenue, Chalfont, PA 18914",Chalfont,26022,26022-1,New Britain Twp. West 2
Middletown Senior Citizens Association | 2142 Trenton Rd Levittown PA 19056 | Levittown,1242,1231,13713,5656,6792,1534,6921,4122,1122,318,11.04,4.55,39.86,41.25,22.59,59.56,28.34,5,2,1,8,2026,Middletown Senior Citizens Association,2142 Trenton Rd Levittown PA 19056,Levittown,22080,22080-1,Middletown Twp. Lower 8
Middletown Township Building | 3 Municipal Way Langhorne PA 19047 | Langhorne,3256,3212,35780,18407,17731,6319,18049,12088,2919,1254,10.99,5.65,50.05,51.44,35.64,66.97,42.96,10,11,7,28,2026,Middletown Township Building,3 Municipal Way Langhorne PA 19047,Langhorne,22210; 22290,22210-1; 22290-1,Middletown Twp. Upper 1; Middletown Twp. Upper 9
Milford Township Building | 2100 Krammes Rd Quakertown PA 18951 | Quakertown,2318,2301,25324,10390,12521,3035,12803,7355,2053,592,10.92,4.48,39.68,41.03,24.24,57.45,28.84,2,6,3,11,2026,Milford Township Building,2100 Krammes Rd Quakertown PA 18951,Quakertown,23030,23030-1,Milford Twp. Shelly
Mill Creek Elem School | 6501 Mill Creek Rd Levittown PA 19057 | Levittown,3872,3781,40228,12988,19850,3632,20378,9356,3228,728,10.39,3.35,31.09,32.29,18.3,45.91,22.55,26,18,13,57,2026,Mill Creek Elem School,6501 Mill Creek Rd Levittown PA 19057,Levittown,05052; 05062; 05072,05052-1; 05062-1; 05072-1,Bristol Twp. 5 - 2; Bristol Twp. 6 - 2; Bristol Twp. 7 - 2
Morrisville High School | 550 W Palmer St Morrisville PA 19067 | Morrisville,1557,1542,16672,7246,8231,2160,8441,5086,1345,420,10.71,4.65,41.88,43.46,26.24,60.25,31.23,5,3,2,10,2026,Morrisville High School,550 W Palmer St Morrisville PA 19067,Morrisville,24030,24030-1,Morrisville Borough 3rd Ward
Morrisville Library Building | 300 N Pennsylvania Ave Morrisville PA 19067 | Morrisville,1654,1638,17624,6330,8704,1735,8920,4595,1425,319,10.66,3.83,34.32,35.92,19.93,51.51,22.39,4,6,1,11,2026,Morrisville Library Building,300 N Pennsylvania Ave Morrisville PA 19067,Morrisville,24020,24020-1,Morrisville Borough 2nd Ward
Morrisville Senior Citizens Center | 31 E Cleveland Ave Morrisville PA 19067 | Morrisville,1392,1378,14880,5205,7354,1410,7526,3795,1202,249,10.69,3.74,33.84,34.98,19.17,50.43,20.72,4,7,0,11,2026,Morrisville Senior Citizens Center,31 E Cleveland Ave Morrisville PA 19067,Morrisville,24010,24010-1,Morrisville Borough 1st Ward
Mumbauersville Rod & Gun Club | 1911 Klines Mill Rd Pennsburg PA 18073 | Pennsburg,1087,1082,12171,5906,6032,1879,6139,4027,996,410,11.2,5.43,47.45,48.53,31.15,65.6,41.16,2,0,1,3,2026,Mumbauersville Rod & Gun Club,1911 Klines Mill Rd Pennsburg PA 18073,Pennsburg,23010,23010-1,Milford Twp. Roeder
Neidig Elementary School | 201 N Penrose St Quakertown PA 18951 | Quakertown,1573,1555,16792,6484,8283,1889,8509,4595,1355,351,10.68,4.12,37.33,38.61,22.81,54.0,25.9,3,4,6,13,2026,Neidig Elementary School,201 N Penrose St Quakertown PA 18951,Quakertown,35030,35030-1,Quakertown Borough 3rd Ward
Neil A. Armstrong Middle School | 475 Wistar Rd Fairless Hills PA 19030 | Fairless Hills,4861,4802,52663,20080,26042,5742,26621,14338,4274,1171,10.83,4.13,36.87,38.13,22.05,53.86,27.4,19,13,11,43,2026,Neil A. Armstrong Middle School,475 Wistar Rd Fairless Hills PA 19030,Fairless Hills,05091; 05092; 05093,05091-1; 05092-1; 05093-1,Bristol Twp. 9 - 1; Bristol Twp. 9 - 2; Bristol Twp. 9 - 3
Neshaminy High School | 2001 Old Lincoln Hwy Langhorne PA 19047 | Langhorne,3427,3405,37568,16983,18589,5038,18979,11945,3043,1060,10.96,4.96,43.7,45.21,27.1,62.94,34.83,4,8,3,15,2026,Neshaminy High School,2001 Old Lincoln Hwy Langhorne PA 19047,Langhorne,22220; 22240,22220-1; 22240-1,Middletown Twp. Upper 2; Middletown Twp. Upper 4
Neshaminy Senior Center | 1842 Brownsville Rd Feasterville Trevose PA 19053 | Trevose,1537,1525,16684,7286,8249,2174,8435,5112,1346,453,10.85,4.74,42.23,43.67,26.35,60.6,33.66,4,2,0,6,2026,Neshaminy Senior Center,1842 Brownsville Rd Feasterville Trevose PA 19053,Trevose,21014,21014-1,Lower Southampton Twp. East 4
New Britain Township Building | 207 Park Avenue Chalfont PA 18914 | New Britain,2325,2312,25915,12855,12835,4061,13080,8794,2111,791,11.15,5.53,48.38,49.6,31.64,67.23,37.47,1,6,4,11,2026,New Britain Township Building,207 Park Avenue Chalfont PA 18914,New Britain,26010,26010-1,New Britain Twp. East
New Hope Borough Community Room | 125 New St New Hope PA 18938 | New Hope,2352,2321,24627,11892,12120,3708,12507,8184,1969,681,10.47,5.06,46.93,48.29,30.59,65.44,34.59,6,9,3,18,2026,New Hope Borough Community Room,125 New St New Hope PA 18938,New Hope,27000,27000-1,New Hope Borough
Newportville Fire Company #1 | 2425 New Falls Rd Newportville PA 19056 | Newportville,2179,2146,22704,6818,11202,1737,11502,5081,1818,362,10.42,3.13,28.84,30.03,15.51,44.17,19.91,7,9,2,18,2026,Newportville Fire Company #1,2425 New Falls Rd Newportville PA 19056,Newportville,05021; 05022,05021-1; 05022-1,Bristol Twp. 2 - 1; Bristol Twp. 2 - 2
Newtown Fire Station | 14 Liberty St Newtown PA 18940 | Newtown,993,982,10987,6148,5444,2095,5543,4053,898,410,11.06,6.19,55.0,55.96,38.48,73.12,45.66,3,1,1,5,2026,Newtown Fire Station,14 Liberty St Newtown PA 18940,Newtown,28010,28010-1,Newtown Borough 1st Ward
Newtown Grant Homeowners Assoc Rec Center | 360 Eagle Rd Newtown PA 18940 | Newtown,2402,2382,26301,13125,13004,3911,13297,9214,2133,807,10.95,5.46,48.93,49.9,30.08,69.29,37.83,3,5,1,9,2026,Newtown Grant Homeowners Assoc Rec Center,360 Eagle Rd Newtown PA 18940,Newtown,29070,29070-1,Newtown Twp. District 7
Newtown Joint Municipal Authority | 15 S Congress St Newtown PA 18940 | Newtown,1088,1080,11942,6275,5909,1992,6033,4283,971,393,10.98,5.77,51.08,52.55,33.71,70.99,40.47,2,1,2,5,2026,Newtown Joint Municipal Authority,15 S Congress St Newtown PA 18940,Newtown,28020,28020-1,Newtown Borough 2nd Ward
Newtown Middle School | 116 Richboro Rd Newtown PA 18940 | Newtown,2430,2408,26409,12619,13053,3824,13356,8795,2142,804,10.87,5.19,46.55,47.78,29.3,65.85,37.54,8,7,4,19,2026,Newtown Middle School,116 Richboro Rd Newtown PA 18940,Newtown,29010; 29040,29010-1; 29040-1,Newtown Twp. District 1; Newtown Twp. District 4
Newtown Reformed Church | 206 Buck Road Newtown PA 18940 | Newtown,1689,1673,18646,8803,9230,2737,9416,6066,1519,571,11.04,5.21,46.15,47.21,29.65,64.42,37.59,4,5,5,14,2026,Newtown Reformed Church,206 Buck Road Newtown PA 18940,Newtown,29050,29050-1,Newtown Twp. District 5
Newtown Township Building | 100 Municipal Dr Newtown PA 18940 | Newtown,2983,2950,32203,14662,15899,4284,16304,10378,2594,906,10.8,4.92,44.24,45.53,26.95,63.65,34.93,10,5,9,24,2026,Newtown Township Building,100 Municipal Dr Newtown PA 18940,Newtown,29080,29080-1,Newtown Twp. District 8
North and Southampton Reformed Church | 1380 Bristol Rd Churchville PA 18966 | Churchville,1815,1802,19993,9093,9903,2736,10090,6357,1624,594,11.02,5.01,44.29,45.48,27.63,63.0,36.58,4,1,3,8,2026,North and Southampton Reformed Church,1380 Bristol Rd Churchville PA 18966,Churchville,48012,48012-1,Upper Southampton Twp. East 2
Northampton Township Building | 55 Township Rd Richboro PA 18954 | Richboro,3206,3185,35230,16092,17432,4692,17798,11400,2873,947,10.99,5.02,44.69,45.68,26.92,64.05,32.96,6,3,7,16,2026,Northampton Township Building,55 Township Rd Richboro PA 18954,Richboro,31150; 31180,31150-1; 31180-1,Northampton Twp. District 15; Northampton Twp. District 18
Northampton Township Fire Company | 283 Hatboro Rd Churchville PA 18966 | Churchville,1786,1773,19499,8962,9641,2690,9858,6272,1580,533,10.92,5.02,44.84,45.96,27.9,63.62,33.73,2,3,5,10,2026,Northampton Township Fire Company,283 Hatboro Rd Churchville PA 18966,Churchville,31130,31130-1,Northampton Twp. District 13
Ottsville Fire Company | 249 Durham Rd Ottsville PA 18942 | Ottsville,1108,1094,12215,5925,6050,1816,6165,4109,1001,389,11.02,5.35,47.4,48.51,30.02,66.65,38.86,3,3,4,10,2026,Ottsville Fire Company,249 Durham Rd Ottsville PA 18942,Ottsville,44020,44020-1,Tinicum Twp. Tinicum
Oxford Valley Elementary School | 430 Trenton Rd Fairless Hills PA 19030 | Fairless Hills,2144,2112,23068,9228,11394,2607,11674,6621,1872,525,10.76,4.3,38.66,40.0,22.88,56.72,28.04,9,5,2,16,2026,Oxford Valley Elementary School,430 Trenton Rd Fairless Hills PA 19030,Fairless Hills,13021; 13031,13021-1; 13031-1,Falls Twp. 2 - 1; Falls Twp. 3 - 1
Palisades High School | 35 Church Hill Rd Kintnersville PA 18930 | Kintnersville,2769,2734,30211,13913,14949,4303,15262,9610,2461,908,10.91,5.02,44.66,46.05,28.78,62.97,36.9,8,10,8,26,2026,Palisades High School,35 Church Hill Rd Kintnersville PA 18930,Kintnersville,30010; 30020,30010-1; 30020-1,Nockamixon Twp. Nockamixon; Nockamixon Twp. Revere
Parkland Fire Company | 831 Avenue D Langhorne PA 19047 | Parkland,2326,2305,25513,11019,12624,3198,12889,7821,2070,666,10.97,4.74,41.94,43.19,25.33,60.68,32.17,3,4,5,12,2026,Parkland Fire Company,831 Avenue D Langhorne PA 19047,Parkland,22010,22010-1,Middletown Twp. Lower 1
Passer Community Center | 2580 Richlandtown Pike Coopersburg PA 18036 | Coopersburg,1332,1320,14967,6451,7421,1963,7546,4488,1229,415,11.24,4.84,42.28,43.1,26.45,59.48,33.77,2,3,3,8,2026,Passer Community Center,2580 Richlandtown Pike Coopersburg PA 18036,Coopersburg,42030,42030-1,Springfield Twp. West
Penn Valley Elementary School | 180 North Turn Ln Levittown PA 19054 | Levittown,3288,3252,35325,14115,17450,4045,17875,10070,2859,822,10.74,4.29,38.62,39.96,23.18,56.34,28.75,12,4,6,22,2026,Penn Valley Elementary School,180 North Turn Ln Levittown PA 19054,Levittown,13042; 13044; 13045,13042-1; 13044-1; 13045-1,Falls Twp. 4 - 2; Falls Twp. 4 - 4; Falls Twp. 4 - 5
Penndel Borough Hall | 300 Bellevue Ave Penndel PA 19047 | Penndel,1654,1637,17728,7088,8761,2186,8967,4902,1428,416,10.72,4.29,38.54,39.98,24.95,54.67,29.13,3,7,3,13,2026,Penndel Borough Hall,300 Bellevue Ave Penndel PA 19047,Penndel,32000,32000-1,Penndel Borough
Pennsbury West High School | 608 S Olds Blvd Fairless Hills PA 19030 | Fairless Hills,4443,4400,48061,19647,23767,5855,24294,13792,3890,1163,10.82,4.42,39.44,40.88,24.63,56.77,29.9,18,5,10,33,2026,Pennsbury West High School,608 S Olds Blvd Fairless Hills PA 19030,Fairless Hills,13012; 13022; 13032,13012-1; 13022-1; 13032-1,Falls Twp. 1 - 2; Falls Twp. 2 - 2; Falls Twp. 3 - 2
Pennwood Library | 301 S Pine St Langhorne PA 19047 | Langhorne,1138,1131,12570,6151,6234,2015,6336,4136,1026,427,11.05,5.41,47.71,48.93,32.32,65.28,41.62,2,1,1,4,2026,Pennwood Library,301 S Pine St Langhorne PA 19047,Langhorne,18000,18000-1,Langhorne Borough
Pennwood Middle School | 1523 Makefield Rd Yardley PA 19067 | Yardley,2830,2798,30600,14954,15124,4556,15476,10398,2477,924,10.81,5.28,47.41,48.87,30.12,67.19,37.3,13,4,6,23,2026,Pennwood Middle School,1523 Makefield Rd Yardley PA 19067,Yardley,20022; 20027,20022-1; 20027-1,Lower Makefield Twp. South 2; Lower Makefield Twp. South 7
Perkasie Borough Hall | 620 W Chestnut St Perkasie PA 18944 | Perkasie,1990,1971,21685,9382,10717,2793,10968,6589,1770,550,10.9,4.71,42.15,43.26,26.06,60.07,31.07,4,6,4,14,2026,Perkasie Borough Hall,620 W Chestnut St Perkasie PA 18944,Perkasie,33020,33020-1,Perkasie Borough 2nd Ward
Perkasie Fire Company | 100 N 5th St Perkasie PA 18944 | Perkasie,2126,2115,23525,11218,11653,3485,11872,7733,1917,677,11.07,5.28,46.39,47.69,29.91,65.14,35.32,1,2,2,5,2026,Perkasie Fire Company,100 N 5th St Perkasie PA 18944,Perkasie,33010,33010-1,Perkasie Borough 1st Ward
Pine Run Community Building | 777 Ferry Rd Doylestown PA 18901 | Doylestown,1185,1177,13138,7629,6509,2681,6629,4948,1070,494,11.09,6.44,56.72,58.07,41.19,74.64,46.17,3,3,1,7,2026,Pine Run Community Building,777 Ferry Rd Doylestown PA 18901,Doylestown,09020,09020-1,Doylestown Twp. District 2
Plumsteadville Firehouse | 5064 Stump Rd Plumsteadville PA 18949 | Plumsteadville,2135,2118,22991,11029,11350,3222,11641,7807,1848,587,10.77,5.17,46.77,47.97,28.39,67.06,31.76,4,0,3,7,2026,Plumsteadville Firehouse,5064 Stump Rd Plumsteadville PA 18949,Plumsteadville,34020,34020-1,Plumstead Twp. District 2
Point Pleasant Fire Company | 6500 Point Pleasant Pike Point Pleasant PA 18950 | Point Pleasant,1906,1890,21094,10881,10435,3454,10659,7427,1715,686,11.07,5.71,50.6,51.58,33.1,69.68,40.0,2,4,6,12,2026,Point Pleasant Fire Company,6500 Point Pleasant Pike Point Pleasant PA 18950,Point Pleasant,34010,34010-1,Plumstead Twp. District 1
Poquessing Middle School | 300 Heights Ln Feasterville-Trevose PA 19053 | Feasterville,1274,1264,13875,5255,6861,1489,7014,3766,1126,305,10.89,4.12,36.58,37.87,21.7,53.69,27.09,1,2,2,5,2026,Poquessing Middle School,300 Heights Ln Feasterville-Trevose PA 19053,Feasterville,21023,21023-1,Lower Southampton Twp. West 3
Quakertown Elementary School | 123 S 7th St Quakertown PA 18951 | Quakertown,1057,1040,11209,4281,5532,1293,5677,2988,899,263,10.6,4.05,36.4,38.19,23.37,52.63,29.25,4,2,3,9,2026,Quakertown Elementary School,123 S 7th St Quakertown PA 18951,Quakertown,35040,35040-1,Quakertown Borough 4th Ward
Quakertown United Methodist | 1875 Freier Rd Quakertown PA 18951 | Quakertown,2870,2839,31178,13649,15418,4210,15760,9439,2518,880,10.86,4.76,42.49,43.78,27.31,59.89,34.95,7,4,2,13,2026,Quakertown United Methodist,1875 Freier Rd Quakertown PA 18951,Quakertown,23040,23040-1,Milford Twp. Trumbauersville
"Richboro Elementary School | 125 Upper Holland Road, Richboro, PA 18954 | Richboro",3267,3249,36346,17160,17993,5103,18353,12057,2966,1111,11.13,5.25,46.02,47.21,28.36,65.69,37.46,3,5,5,13,2026,Richboro Elementary School,"125 Upper Holland Road, Richboro, PA 18954",Richboro,31070; 31120,31070-1; 31120-1,Northampton Twp. District 12; Northampton Twp. District 7
Richland Elementary School | 500 Fairview Ave Quakertown PA 18951 | Quakertown,3801,3743,40292,16217,19882,4840,20410,11377,3238,971,10.6,4.27,38.88,40.25,24.34,55.74,29.99,21,11,12,44,2026,Richland Elementary School,500 Fairview Ave Quakertown PA 18951,Quakertown,36010,36010-1,Richland Twp. District 1
Richland Township Building | 1328 California Rd Quakertown PA 18951 | Quakertown,2102,2078,23052,9304,11390,2789,11662,6515,1876,551,10.97,4.43,39.33,40.36,24.49,55.87,29.37,6,8,4,18,2026,Richland Township Building,1328 California Rd Quakertown PA 18951,Quakertown,36020,36020-1,Richland Twp. District 2
Riegelsville Borough Hall | 615 Easton Rd Riegelsville PA 18077 | Riegelsville,704,693,7441,3713,3678,1267,3763,2446,601,216,10.57,5.27,48.19,49.9,34.45,65.0,35.94,2,1,2,5,2026,Riegelsville Borough Hall,615 Easton Rd Riegelsville PA 18077,Riegelsville,38000,38000-1,Riegelsville Borough
Robert Shafer Middle School | 3333 Hulmeville Rd Bensalem PA 19020 | Bensalem,3886,3835,41366,14555,20410,3855,20956,10700,3331,717,10.64,3.75,34.04,35.19,18.89,51.06,21.53,20,9,4,33,2026,Robert Shafer Middle School,3333 Hulmeville Rd Bensalem PA 19020,Bensalem,02012; 02013,02012-1; 02013-1,Bensalem Twp. Lower East 2; Bensalem Twp. Lower East 3
Rolling Hills Elementary School | 340 Middle Holland Rd Holland PA 18966 | Holland,2424,2402,26745,12328,13250,3683,13495,8645,2171,755,11.03,5.09,44.83,46.09,27.8,64.06,34.78,8,4,6,18,2026,Rolling Hills Elementary School,340 Middle Holland Rd Holland PA 18966,Holland,31100; 31170,31100-1; 31170-1,Northampton Twp. District 10; Northampton Twp. District 17
Russell C. Struble Elementary School | 4300 Bensalem Blvd Bensalem PA 19020 | Bensalem,4050,4006,42937,16395,21164,4728,21773,11667,3446,885,10.6,4.05,36.82,38.18,22.34,53.58,25.68,12,10,4,26,2026,Russell C. Struble Elementary School,4300 Bensalem Blvd Bensalem PA 19020,Bensalem,02011; 02017,02011-1; 02017-1,Bensalem Twp. Lower East 1; Bensalem Twp. Lower East 7
Russell Elliot Recreation Field Building | 150 Buck Rd Feasterville -Trevose PA 19053 | Feasterville,850,841,9324,4241,4612,1286,4712,2955,764,271,10.97,4.99,44.35,45.48,27.88,62.71,35.47,3,1,3,7,2026,Russell Elliot Recreation Field Building,150 Buck Rd Feasterville -Trevose PA 19053,Feasterville,21022,21022-1,Lower Southampton Twp. West 2
Salem Harbor Apts. | 463 Old Bridge Rd Bensalem PA 19020 | Bensalem,1540,1530,16617,5585,8206,1618,8411,3967,1343,335,10.79,3.63,32.79,33.61,19.72,47.16,24.94,2,4,3,9,2026,Salem Harbor Apts.,463 Old Bridge Rd Bensalem PA 19020,Bensalem,02030,02030-1,Bensalem Twp. Lower West
Salem United Church of Christ | 186 E Court St Doylestown PA 18901 | Doylestown,1073,1063,11797,6156,5839,2141,5958,4015,954,387,10.99,5.74,51.25,52.18,36.67,67.39,40.57,4,6,0,10,2026,Salem United Church of Christ,186 E Court St Doylestown PA 18901,Doylestown,08012,08012-1,Doylestown Borough 1 - 2
Samuel K. Faust Elementary School | 2901 Bellview Dr Bensalem PA 19020 | Bensalem,2721,2676,28484,9873,14035,2748,14449,7125,2290,560,10.47,3.63,33.48,34.66,19.58,49.31,24.45,16,11,1,28,2026,Samuel K. Faust Elementary School,2901 Bellview Dr Bensalem PA 19020,Bensalem,02052; 02055,02052-1; 02055-1,Bensalem Twp. Upper 2; Bensalem Twp. Upper 5
Sandburg Middle School | 30 Harmony Rd Levittown PA 19056 | Levittown,2041,2026,22248,8869,10995,2394,11253,6475,1812,495,10.9,4.35,38.76,39.86,21.77,57.54,27.32,4,4,2,10,2026,Sandburg Middle School,30 Harmony Rd Levittown PA 19056,Levittown,22070; 22110,22070-1; 22110-1,Middletown Twp. Lower 11; Middletown Twp. Lower 7
Sarah Mitchell Comm. Cent. | 1500 Desire Ave Feasterville Trevose PA 19053 | Feasterville,1137,1124,12206,5115,6029,1510,6177,3605,983,311,10.74,4.5,40.51,41.91,25.05,58.36,31.64,4,5,2,11,2026,Sarah Mitchell Comm. Cent.,1500 Desire Ave Feasterville Trevose PA 19053,Feasterville,21012,21012-1,Lower Southampton Twp. East 2
Scottsville United Methodist Church | 2400 Brownsville Rd Langhorne PA 19053 | Langhorne,1296,1278,14326,6542,7098,2059,7228,4483,1171,434,11.05,5.05,44.4,45.67,29.01,62.02,37.06,3,9,3,15,2026,Scottsville United Methodist Church,2400 Brownsville Rd Langhorne PA 19053,Langhorne,21015,21015-1,Lower Southampton Twp. East 5
Sellersville Fire Department | 2 N Main St Sellersville PA 18960 | Sellersville,2749,2721,29923,12122,14807,3507,15116,8615,2424,682,10.89,4.41,39.39,40.51,23.68,56.99,28.14,6,7,5,18,2026,Sellersville Fire Department,2 N Main St Sellersville PA 18960,Sellersville,39010; 39030,39010-1; 39030-1,Sellersville Borough District 1; Sellersville Borough District 3
Seventh-Day Adventist Church | 10 Greene Rd Warminster PA 18974 | Warminster,1590,1581,17352,7573,8584,2336,8768,5237,1409,449,10.91,4.76,42.14,43.64,27.21,59.73,31.87,4,2,2,8,2026,Seventh-Day Adventist Church,10 Greene Rd Warminster PA 18974,Warminster,49070,49070-1,Warminster Twp. District 7
Silverdale Brethren in Christ Church | 167 W Main St Silverdale PA 18962 | Silverdale,624,618,6957,3283,3450,1022,3507,2261,569,208,11.15,5.26,46.25,47.19,29.62,64.47,36.56,2,0,2,4,2026,Silverdale Brethren in Christ Church,167 W Main St Silverdale PA 18962,Silverdale,40000,40000-1,Silverdale Borough
Simon Butler Elementary School | 200 Brittany Dr Chalfont PA 18914 | Chalfont,3904,3857,42430,18864,20979,5714,21451,13150,3445,1139,10.87,4.83,43.46,44.46,27.24,61.3,33.06,18,11,7,36,2026,Simon Butler Elementary School,200 Brittany Dr Chalfont PA 18914,Chalfont,26031; 26032,26031-1; 26032-1,New Britain Twp. South 1; New Britain Twp. South 2
Snyder-Girotti Elementary School | 450 Beaver St Bristol PA 19007 | Bristol,1853,1831,19972,7295,9884,2280,10088,5015,1617,376,10.78,3.94,35.44,36.53,23.07,49.71,23.25,6,5,3,14,2026,Snyder-Girotti Elementary School,450 Beaver St Bristol PA 19007,Bristol,04031; 04032; 04033,04031-1; 04032-1; 04033-1,Bristol Borough West 1; Bristol Borough West 2; Bristol Borough West 3
Sol Feinstone Elementary School | 1090 Eagle Rd Newtown PA 18940 | Newtown,3574,3536,38849,19356,19194,5971,19655,13385,3145,1197,10.87,5.42,48.83,49.82,31.11,68.1,38.06,15,3,6,24,2026,Sol Feinstone Elementary School,1090 Eagle Rd Newtown PA 18940,Newtown,47010; 47030,47010-1; 47030-1,Upper Makefield Twp. District 1; Upper Makefield Twp. District 3
Solebury Township Building | 3092 Sugan Rd Solebury PA 18963 | Solebury,2509,2473,26649,13706,13147,4455,13502,9251,2159,871,10.62,5.46,50.44,51.43,33.89,68.52,40.34,12,7,3,22,2026,Solebury Township Building,3092 Sugan Rd Solebury PA 18963,Solebury,41020,41020-1,Solebury Twp. Middle
Somerton Springs Ballroom | 50 Bustleton Pike Feasterville Trevose PA 19053 | Feasterville,1696,1679,18118,7254,8950,2022,9168,5232,1460,460,10.68,4.28,38.23,40.04,22.59,57.07,31.51,5,3,1,9,2026,Somerton Springs Ballroom,50 Bustleton Pike Feasterville Trevose PA 19053,Feasterville,21021; 21027,21021-1; 21027-1,Lower Southampton Twp. West 1; Lower Southampton Twp. West 7
Southampton Fire House | 925 Street Rd Southampton PA 18966 | Southampton,4344,4318,48068,20556,23795,6112,24273,14444,3920,1325,11.07,4.73,41.51,42.76,25.69,59.51,33.8,8,6,7,21,2026,Southampton Fire House,925 Street Rd Southampton PA 18966,Southampton,48011; 48031; 48032,48011-1; 48031-1; 48032-1,Upper Southampton Twp. East 1; Upper Southampton Twp. South 1; Upper Southampton Twp. South 2
Springtown Fire Company | 3010 Route 212 Springtown PA 18081 | Springtown,1421,1404,15609,7275,7726,2209,7883,5066,1269,449,10.98,5.12,45.36,46.61,28.59,64.26,35.38,7,3,3,13,2026,Springtown Fire Company,3010 Route 212 Springtown PA 18081,Springtown,42010,42010-1,Springfield Twp. East
St Ann Worship Site | 357 Dorrance St Bristol PA 19007 | Bristol,1625,1605,17590,6262,8705,2039,8885,4223,1424,324,10.82,3.85,34.8,35.6,23.42,47.53,22.75,10,2,4,16,2026,St Ann Worship Site,357 Dorrance St Bristol PA 19007,Bristol,04041; 04042; 04043,04041-1; 04042-1; 04043-1,Bristol Borough South 1; Bristol Borough South 2; Bristol Borough South 3
St. Andrew's Lutheran Church | 20 Dill Ave Perkasie PA 18944 | Perkasie,2843,2815,31059,14155,15370,4228,15689,9927,2525,813,10.92,4.98,44.31,45.57,27.51,63.27,32.2,3,7,7,17,2026,St. Andrew's Lutheran Church,20 Dill Ave Perkasie PA 18944,Perkasie,33030,33030-1,Perkasie Borough 3rd Ward
St. Cyril of Jerusalem | 1410 Almshouse Rd Jamison PA 18929 | Jamison,4805,4754,52780,25114,26136,7766,26644,17348,4285,1530,10.98,5.23,46.26,47.58,29.71,65.11,35.71,11,8,7,26,2026,St. Cyril of Jerusalem,1410 Almshouse Rd Jamison PA 18929,Jamison,51020; 51050,51020-1; 51050-1,Warwick Twp. District 2; Warwick Twp. District 5
St. John's Activity Center | 26 First Ave Richlandtown PA 18955 | Richlandtown,842,829,9204,3644,4554,1022,4650,2622,751,180,10.93,4.33,38.27,39.59,22.44,56.39,23.97,3,2,1,6,2026,St. John's Activity Center,26 First Ave Richlandtown PA 18955,Richlandtown,37000,37000-1,Richlandtown Borough
St. John's Lutheran Church | 910 Allentown Rd Sellersville PA 18960 | Sellersville,1311,1300,14648,6829,7263,2149,7385,4680,1201,473,11.17,5.21,45.57,46.62,29.59,63.37,39.38,1,0,4,5,2026,St. John's Lutheran Church,910 Allentown Rd Sellersville PA 18960,Sellersville,52010,52010-1,West Rockhill Twp. Argus
