polling_place_key,voters,voters_with_any_eligible_election,eligible_elections,voted_elections,eligible_primaries,voted_primaries,eligible_generals,voted_generals,eligible_midterm_primaries,voted_midterm_primaries,avg_eligible_elections_per_voter,avg_voted_elections_per_voter,avg_participation_pct_per_voter,participation_pct,primary_participation_pct,general_participation_pct,midterm_primary_participation_pct,registered_current_year_D,registered_current_year_Oth,registered_current_year_R,registered_current_year_total,registration_year,polling_place,full_address,post_office,precinct_codes,precinct_split_ids,municipality_districts
Cornwells Elementary School | 2215 Hulmeville Rd Bensalem PA 19020 | Bensalem,1916,1894,21152,9366,10471,2769,10681,6597,1727,541,11.04,4.89,43.03,44.28,26.44,61.76,31.33,3,5,4,12,2026,Cornwells Elementary School,2215 Hulmeville Rd Bensalem PA 19020,Bensalem,02023,02023-1,Bensalem Twp. Lower Middle 3
Covenant Presbyterian Church | 4000 Route 202 Doylestown PA 18902 | Doylestown,2351,2320,25584,12990,12643,3996,12941,8994,2070,745,10.88,5.53,49.7,50.77,31.61,69.5,35.99,14,7,2,23,2026,Covenant Presbyterian Church,4000 Route 202 Doylestown PA 18902,Doylestown,06031,06031-1,Buckingham Twp. Upper 1
Deep Run Mennonite Church East | 350 Kellers Church Rd Perkasie PA 18944 | Perkasie,3000,2970,32832,15857,16245,4766,16587,11091,2671,1003,10.94,5.29,47.18,48.3,29.34,66.87,37.55,5,11,6,22,2026,Deep Run Mennonite Church East,350 Kellers Church Rd Perkasie PA 18944,Perkasie,01010,01010-1,Bedminster Twp. East
Deep Run Presbyterian Church | 16 Irish Meeting House Rd Perkasie Pa 18944 | Perkasie,2868,2842,31343,15372,15498,4614,15845,10758,2539,906,10.93,5.36,47.83,49.04,29.77,67.9,35.68,5,5,9,19,2026,Deep Run Presbyterian Church,16 Irish Meeting House Rd Perkasie Pa 18944,Perkasie,01020,01020-1,Bedminster Twp. West
Delaware Valley Fire Company | 75 Headquarters Rd Erwinna PA 18920 | Erwinna,1124,1113,12327,5982,6100,1752,6227,4230,1005,358,10.97,5.32,47.83,48.53,28.72,67.93,35.62,1,2,2,5,2026,Delaware Valley Fire Company,75 Headquarters Rd Erwinna PA 18920,Erwinna,44010,44010-1,Tinicum Twp. Delaware
Delaware valley Vietnam Veterans | 800 Coates Ave Bristol PA 19007 | Bristol,1380,1351,14763,5380,7302,1609,7461,3771,1199,328,10.7,3.9,35.43,36.44,22.04,50.54,27.36,10,5,3,18,2026,Delaware valley Vietnam Veterans,800 Coates Ave Bristol PA 19007,Bristol,05051,05051-1,Bristol Twp. 5 - 1
Doylestown Borough Hall Municipal Building | 10 Doyle St Doylestown PA 18901 | Doylestown,926,907,10147,5130,5024,1752,5123,3378,827,336,10.96,5.54,49.32,50.56,34.87,65.94,40.63,4,7,1,12,2026,Doylestown Borough Hall Municipal Building,10 Doyle St Doylestown PA 18901,Doylestown,08031,08031-1,Doylestown Borough 3 - 1
Doylestown Fire Company #1 | 68 Shewell Ave Doylestown PA 18901 | Doylestown,1163,1152,12538,6057,6195,1994,6343,4063,1010,365,10.78,5.21,46.95,48.31,32.19,64.05,36.14,3,3,0,6,2026,Doylestown Fire Company #1,68 Shewell Ave Doylestown PA 18901,Doylestown,08021,08021-1,Doylestown Borough 2 - 1
Doylestown Township Building | 425 Wells Rd Doylestown PA 18901 | Doylestown,3570,3532,39009,19893,19297,6334,19712,13559,3169,1193,10.93,5.57,49.89,51.0,32.82,68.79,37.65,6,10,6,22,2026,Doylestown Township Building,425 Wells Rd Doylestown PA 18901,Doylestown,09010; 09080,09010-1; 09080-1,Doylestown Twp. District 1; Doylestown Twp. District 8
Dublin Fire House | 194 N Main St Dublin PA 18917 | Dublin,1631,1614,17198,7022,8465,1955,8733,5067,1376,403,10.54,4.31,39.06,40.83,23.1,58.02,29.29,3,7,5,15,2026,Dublin Fire House,194 N Main St Dublin PA 18917,Dublin,10000,10000-1,Dublin Borough
