precinct_code,municipality_district,polling_place,full_address,post_office
05063,Bristol Twp. 6 - 3,Harry S Truman High School,3001 Green Ln Levittown PA 19057,Levittown
05071,Bristol Twp. 7 - 1,Brookwood Elem School,2200 Haines Rd Levittown PA 19055,Levittown
05072,Bristol Twp. 7 - 2,Mill Creek Elem School,6501 Mill Creek Rd Levittown PA 19057,Levittown
05081,Bristol Twp. 8 - 1,Ben Franklin Middle School,6403 Mill Creek Rd Levittown PA 19057,Levittown
05082,Bristol Twp. 8 - 2,Bucks County Government Services Center,7321 New Falls Rd Levittown PA 19055,Levittown
05091,Bristol Twp. 9 - 1,Neil A. Armstrong Middle School,475 Wistar Rd Fairless Hills PA 19030,Fairless Hills
05092,Bristol Twp. 9 - 2,Neil A. Armstrong Middle School,475 Wistar Rd Fairless Hills PA 19030,Fairless Hills
05093,Bristol Twp. 9 - 3,Neil A. Armstrong Middle School,475 Wistar Rd Fairless Hills PA 19030,Fairless Hills
05101,Bristol Twp. 10 - 1,Harry S Truman High School,3001 Green Ln Levittown PA 19057,Levittown
05102,Bristol Twp. 10 - 2,Harry S Truman High School,3001 Green Ln Levittown PA 19057,Levittown
05103,Bristol Twp. 10 - 3,Harry S Truman High School,3001 Green Ln Levittown PA 19057,Levittown
05111,Bristol Twp. 11 - 1,Brookwood Elem School,2200 Haines Rd Levittown PA 19055,Levittown
05112,Bristol Twp. 11 - 2,Brookwood Elem School,2200 Haines Rd Levittown PA 19055,Levittown
06011,Buckingham Twp. Lower 1,Forest Grove Presbyterian Church,1856 Forest Grove Rd Forest Grove PA 18922,Forest Grove
06012,Buckingham Twp. Lower 2,Buckingham Springs Clubhouse,1490 Durham Rd New Hope PA 18938,New Hope
06021,Buckingham Twp. Middle 1,Buckingham Township Building,4613 Hughesian Dr Buckingham PA 18912,Buckingham
06022,Buckingham Twp. Middle 2,Buckingham Township Building,4613 Hughesian Dr Buckingham PA 18912,Buckingham
06031,Buckingham Twp. Upper 1,Covenant Presbyterian Church,4000 Route 202 Doylestown PA 18902,Doylestown
06032,Buckingham Twp. Upper 2,Central Bucks High School East,2804 Holicong Rd Doylestown PA 18902,Doylestown
